Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2020,Sphyrnidae,Sphyrna,Sphyrna zygaena,105.48,kg,CN,MX,,T,W,E
2021,Alopiidae,Alopias,Alopias vulpinus,493,kg,HK,YE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,114.87,kg,HK,MX,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,919.6,kg,SG,NAM,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,170.18,kg,HK,ID,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,90,kg,HK,PE,,T,W,I
2022,Lamnidae,Isurus,Isurus paucus,500,kg,HK,LK,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna zygaena,500,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,2575.83,kg,HK,ES,HS,T,X,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,357.3,kg,HK,ID,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna zygaena,1371,kg,CN,MX,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,197.4,kg,HK,MX,,T,W,I
2018,Alopiidae,Alopias,Alopias pelagicus,5173,kg,PE,EC,,T,W,I
2018,Alopiidae,Alopias,Alopias superciliosus,664,kg,PE,EC,,T,W,I
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,637,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,395.2,kg,HK,MX,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,404.4,kg,HK,MX,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,10830,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,956,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,422,kg,PE,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,13.3,kg,PE,EC,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,206,kg,SG,NAM,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,60.24,kg,CN,MX,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,254.81,kg,CN,MX,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,22.7,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,149.1,kg,HK,AU,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,285.7,kg,HK,PE,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,9198,kg,PE,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,2583,kg,SG,ES,,T,X,I
2018,Alopiidae,Alopias,Alopias pelagicus,614,kg,PE,EC,,T,O,E
2018,Alopiidae,Alopias,Alopias superciliosus,90,kg,PE,EC,,T,O,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,320,kg,PE,EC,,T,O,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,20,kg,PE,EC,,T,O,E
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,120,kg,HK,NI,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,60,kg,HK,NI,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna mokarran,25,kg,HK,NI,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,5054,kg,KR,TW,,T,W,I
2022,Lamnidae,Isurus,Isurus paucus,50,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,250,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,250,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,23000,kg,MX,CR,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1650,kg,HK,LK,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,456,kg,HK,MX,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,1726.5,kg,TW,CR,,,,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,24476.5,kg,TW,CR,,,,E
2015,Sphyrnidae,Sphyrna,Sphyrna lewini,941.82,kg,CN,MX,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,570,kg,HK,LK,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,6628,kg,PE,EC,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,2014,kg,KR,TW,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,5500,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,1435.9,kg,SG,NAM,,T,W,I
2022,Alopiidae,Alopias,Alopias pelagicus,8938,kg,PE,EC,,T,W,E
2015,Sphyrnidae,Sphyrna,Sphyrna mokarran,203.55,kg,CN,MX,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,23900,kg,KR,CN,,T,O,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1141.25,kg,HK,SV,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,659,kg,HK,YE,,T,W,E
2020,Sphyrnidae,Sphyrna,Sphyrna mokarran,51.73,kg,HK,MX,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,388.91,kg,HK,GT,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1759.9,kg,HK,GT,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,8500,kg,PE,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,2100,kg,HK,OM,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,5051,kg,TT,NAM,,T,W,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,55,kg,CN,MX,,T,O,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,888.5,kg,SG,NAM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,250,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,300,kg,HK,LK,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,250,kg,HK,LK,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,325,kg,HK,LK,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,385,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,1320,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,1000,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,7161,kg,PT,NAM,,T,W,I
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,500,kg,HK,LK,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,400,kg,HK,LK,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,27,kg,HK,PE,,T,W,E
